Data;Czas;Ćwiczenie;Seria;Powt.;Uwaga;
19.03.20;18:29:14;Unoszenie nóg (leżąc);5;10;
19.03.20;18:40:04;Unoszenie bioder, ugięte nogi (leżąc);1;12;
19.03.20;18:41:38;Unoszenie bioder, ugięte nogi (leżąc);2;12;
19.03.20;18:42:55;Unoszenie bioder, ugięte nogi (leżąc);3;12;
19.03.20;18:44:33;Unoszenie bioder, ugięte nogi (leżąc);4;12;
19.03.20;18:48:36;Unoszenie bioder, ugięte nogi (leżąc);5;12;
21.03.20;14:13:26;Unoszenie nóg (leżąc);1;11;
21.03.20;14:14:40;Unoszenie nóg (leżąc);2;11;
21.03.20;14:16:54;Unoszenie nóg (leżąc);3;11;
21.03.20;14:19:37;Unoszenie nóg (leżąc);4;11;
21.03.20;14:21:35;Unoszenie nóg (leżąc);5;11;
21.03.20;14:54:00;Unoszenie bioder, ugięte nogi (leżąc);1;13;
21.03.20;14:55:19;Unoszenie bioder, ugięte nogi (leżąc);2;13;
21.03.20;14:56:48;Unoszenie bioder, ugięte nogi (leżąc);3;13;
21.03.20;14:58:44;Unoszenie bioder, ugięte nogi (leżąc);4;13;
21.03.20;15:00:31;Unoszenie bioder, ugięte nogi (leżąc);5;13;
22.03.20;15:23:10;Nożyce (leżąc);1;12;
22.03.20;15:24:12;Nożyce (leżąc);2;14;
22.03.20;15:25:48;Nożyce (leżąc);3;11;
22.03.20;15:27:47;Nożyce (leżąc);4;11;
22.03.20;15:29:35;Nożyce (leżąc);5;12;
22.03.20;15:37:59;Scyzoryki (leżąc) V-Ups;1;8;
22.03.20;15:39:07;Scyzoryki (leżąc) V-Ups;2;8;
22.03.20;15:40:10;Scyzoryki (leżąc) V-Ups;3;8;
22.03.20;15:41:29;Scyzoryki (leżąc) V-Ups;4;8;
22.03.20;15:42:32;Scyzoryki (leżąc) V-Ups;5;8;
22.03.20;15:43:28;Wykroki na jednej nodze;1;12;
22.03.20;15:44:39;Wykroki na jednej nodze;2;12;
22.03.20;15:45:39;Wykroki na jednej nodze;3;12;
22.03.20;15:47:28;Wykroki na jednej nodze;4;12;
22.03.20;15:49:17;Wykroki na jednej nodze;5;12;
22.03.20;15:49:46;Dotykanie pięt (leżąc);1;14;
22.03.20;15:50:31;Dotykanie pięt (leżąc);2;14;
22.03.20;15:51:12;Dotykanie pięt (leżąc);3;14;
22.03.20;15:52:09;Dotykanie pięt (leżąc);4;14;
22.03.20;15:54:02;Dotykanie pięt (leżąc);5;14;
22.03.20;15:54:45;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);1;12;
22.03.20;15:55:58;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);2;12;
22.03.20;15:56:48;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);3;12;
22.03.20;15:57:49;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);4;12;
22.03.20;16:00:03;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);5;12;
24.03.20;17:42:36;Unoszenie nóg (leżąc);1;12;
24.03.20;17:43:53;Unoszenie nóg (leżąc);2;12;
24.03.20;17:45:20;Unoszenie nóg (leżąc);3;12;
24.03.20;17:46:56;Unoszenie nóg (leżąc);4;12;
24.03.20;17:48:43;Unoszenie nóg (leżąc);5;12;
24.03.20;18:03:05;Unoszenie bioder, ugięte nogi (leżąc);1;14;
24.03.20;18:03:06;Unoszenie bioder, ugięte nogi (leżąc);2;14;
24.03.20;18:05:00;Unoszenie bioder, ugięte nogi (leżąc);3;14;
24.03.20;18:06:27;Unoszenie bioder, ugięte nogi (leżąc);4;14;
24.03.20;18:08:40;Unoszenie bioder, ugięte nogi (leżąc);5;14;
24.03.20;18:17:46;Scyzoryki (leżąc) V-Ups;1;9;
24.03.20;18:18:35;Scyzoryki (leżąc) V-Ups;2;9;
24.03.20;18:20:25;Scyzoryki (leżąc) V-Ups;3;10;
24.03.20;18:21:47;Scyzoryki (leżąc) V-Ups;4;8;
24.03.20;18:22:48;Scyzoryki (leżąc) V-Ups;5;9;
25.03.20;17:43:30;Nożyce (leżąc);1;13;
25.03.20;17:44:56;Nożyce (leżąc);2;13;
25.03.20;17:46:40;Nożyce (leżąc);3;13;
25.03.20;17:48:10;Nożyce (leżąc);4;13;
25.03.20;17:49:45;Nożyce (leżąc);5;13;
25.03.20;17:50:35;Wykroki na jednej nodze;1;13;
25.03.20;17:52:14;Wykroki na jednej nodze;2;13;
25.03.20;17:54:20;Wykroki na jednej nodze;3;12;
25.03.20;17:55:46;Wykroki na jednej nodze;4;12;
25.03.20;17:57:35;Wykroki na jednej nodze;5;12;
25.03.20;17:58:41;Dotykanie pięt (leżąc);1;16;
25.03.20;17:59:45;Dotykanie pięt (leżąc);2;16;
25.03.20;18:00:46;Dotykanie pięt (leżąc);3;16;
25.03.20;18:01:44;Dotykanie pięt (leżąc);4;16;
25.03.20;18:03:08;Dotykanie pięt (leżąc);5;16;
25.03.20;18:14:38;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);1;14;
25.03.20;18:15:29;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);2;14;
25.03.20;18:16:15;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);3;12;
25.03.20;18:16:57;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);4;12;
25.03.20;18:17:58;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);5;12;
27.03.20;18:51:28;Unoszenie nóg (leżąc);1;10;
27.03.20;18:51:50;Unoszenie nóg (leżąc);2;3;
27.03.20;18:52:23;Unoszenie nóg (leżąc);3;13;
27.03.20;18:53:16;Unoszenie nóg (leżąc);4;13;
27.03.20;18:54:53;Unoszenie nóg (leżąc);5;13;
27.03.20;18:56:18;Unoszenie nóg (leżąc);6;13;
28.03.20;14:45:24;Scyzoryki (leżąc) V-Ups;1;10;
28.03.20;14:46:14;Scyzoryki (leżąc) V-Ups;2;10;
28.03.20;14:48:55;Scyzoryki (leżąc) V-Ups;3;10;
28.03.20;14:53:21;Scyzoryki (leżąc) V-Ups;4;10;
28.03.20;14:54:28;Scyzoryki (leżąc) V-Ups;5;10;
28.03.20;15:04:52;Dotykanie pięt (leżąc);1;20;
28.03.20;15:05:41;Dotykanie pięt (leżąc);2;16;
28.03.20;15:08:15;Dotykanie pięt (leżąc);3;18;
28.03.20;15:09:23;Dotykanie pięt (leżąc);4;18;
28.03.20;15:12:38;Dotykanie pięt (leżąc);5;20;
28.03.20;15:17:02;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;1;11;
28.03.20;15:18:09;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;2;11;
28.03.20;15:21:24;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;3;10;
28.03.20;15:24:30;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;4;10;
28.03.20;15:25:31;Wypychanie ciężaru nogami na suwnicy na ławce dodatniej;5;10;
28.03.20;15:28:16;Wykroki na jednej nodze;1;13;
28.03.20;15:29:04;Wykroki na jednej nodze;2;13;
28.03.20;15:29:18;Wykroki na jednej nodze;3;13;
28.03.20;15:31:13;Wykroki na jednej nodze;4;13;
28.03.20;15:33:21;Wykroki na jednej nodze;5;13;
28.03.20;15:35:00;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);1;16;
28.03.20;15:35:46;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);2;14;
28.03.20;15:36:33;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);3;14;
28.03.20;15:37:27;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);4;12;
28.03.20;15:38:21;Odwodzenie nogi w tył ze zgięciem kolana (klęcząc);5;16;
29.03.20;14:58:49;Unoszenie nóg (leżąc);1;14;
29.03.20;15:00:24;Unoszenie nóg (leżąc);2;14;
29.03.20;15:01:43;Unoszenie nóg (leżąc);3;14;
29.03.20;15:03:56;Unoszenie nóg (leżąc);4;14;
29.03.20;15:05:35;Unoszenie nóg (leżąc);5;14;
29.03.20;15:16:10;Unoszenie bioder, ugięte nogi (leżąc);1;14;
29.03.20;15:16:54;Unoszenie bioder, ugięte nogi (leżąc);2;16;
29.03.20;15:18:14;Unoszenie bioder, ugięte nogi (leżąc);3;16;
29.03.20;15:19:34;Unoszenie bioder, ugięte nogi (leżąc);4;14;
29.03.20;15:21:19;Unoszenie bioder, ugięte nogi (leżąc);5;15;
31.03.20;17:38:42;Dotykanie pięt (leżąc);1;20;
31.03.20;17:39:41;Dotykanie pięt (leżąc);2;20;
31.03.20;17:40:29;Dotykanie pięt (leżąc);3;20;
31.03.20;17:41:26;Dotykanie pięt (leżąc);4;20;
31.03.20;17:42:40;Dotykanie pięt (leżąc);5;20;
31.03.20;18:35:56;Scyzoryki (leżąc) V-Ups;1;11;
31.03.20;18:37:14;Scyzoryki (leżąc) V-Ups;2;10;
31.03.20;18:38:20;Scyzoryki (leżąc) V-Ups;3;9;
31.03.20;18:40:30;Scyzoryki (leżąc) V-Ups;4;13;
31.03.20;18:42:47;Scyzoryki (leżąc) V-Ups;5;10;
01.04.20;18:16:44;Unoszenie nóg (leżąc);1;15;
01.04.20;18:18:07;Unoszenie nóg (leżąc);2;15;
01.04.20;18:19:30;Unoszenie nóg (leżąc);3;14;
01.04.20;18:21:19;Unoszenie nóg (leżąc);4;14;
01.04.20;18:23:49;Unoszenie nóg (leżąc);5;14;
01.04.20;18:50:53;Wykroki na jednej nodze;1;14;
01.04.20;18:52:47;Wykroki na jednej nodze;2;14;
01.04.20;18:54:42;Wykroki na jednej nodze;3;13;
01.04.20;18:57:31;Wykroki na jednej nodze;4;13;
