Data;Czas;Ćwiczenie;Seria;Waga;Powt.;Uwaga;
12.01.20;14:41:55;Uginanie nóg na maszynie (stojąc);5;17,5;5;
12.01.20;14:43:29;Wspięcia na palce ze sztangą (siedząc);1;20;10;
12.01.20;14:45:41;Wspięcia na palce ze sztangą (siedząc);2;40;5;
12.01.20;14:47:24;Wspięcia na palce ze sztangą (siedząc);3;40;5;
12.01.20;14:49:33;Wspięcia na palce ze sztangą (siedząc);4;40;5;
12.01.20;14:53:04;Wspięcia na palce ze sztangą (siedząc);5;40;5;
12.01.20;14:55:39;Wspięcia na palce ze sztangą (siedząc);6;40;5;
12.01.20;15:00:21;Wspięcia na palce ze sztangą (siedząc);7;40;10;
12.01.20;15:07:44;Uginanie nóg na maszynie (siedząc);1;35;6;
12.01.20;15:08:16;Uginanie nóg na maszynie (siedząc);2;35;6;
12.01.20;15:09:46;Uginanie nóg na maszynie (siedząc);3;35;6;
12.01.20;15:13:43;Uginanie nóg na maszynie (siedząc);4;35;6;
12.01.20;15:15:44;Uginanie nóg na maszynie (siedząc);5;35;6;
14.01.20;19:02:52;Pompki, szeroki rozstaw rąk;1;76;10;
14.01.20;19:03:19;Pompki, szeroki rozstaw rąk;2;76;10;
14.01.20;19:03:52;Pompki, szeroki rozstaw rąk;3;76;10;
16.01.20;21:07:09;Wyciskanie sztangi na ławce poziomej;1;40;5;
16.01.20;21:08:08;Wyciskanie sztangi na ławce poziomej;2;60;5;
16.01.20;21:09:49;Wyciskanie sztangi na ławce poziomej;3;65;6;
16.01.20;21:13:22;Wyciskanie sztangi na ławce poziomej;4;65;6;
16.01.20;21:20:11;Wyciskanie sztangi na ławce poziomej;5;65;6;
16.01.20;21:22:02;Wyciskanie sztangi na ławce poziomej;6;65;6;
16.01.20;21:31:21;Wyciskanie sztangi na ławce poziomej;7;65;8;
16.01.20;21:33:03;Podciąganie nachwytem (średni rozstaw rąk);1;76;6;
16.01.20;21:33:54;Podciąganie nachwytem (średni rozstaw rąk);2;76;4;
16.01.20;21:41:02;Podciąganie nachwytem (średni rozstaw rąk);3;76;6;
16.01.20;21:42:26;Podciąganie nachwytem (średni rozstaw rąk);4;76;3;
16.01.20;21:44:13;Podciąganie nachwytem (średni rozstaw rąk);5;76;3;
16.01.20;21:46:54;Podciąganie nachwytem (średni rozstaw rąk);6;76;3;
16.01.20;21:47:25;Podciąganie nachwytem (średni rozstaw rąk);7;76;1;
16.01.20;21:48:57;Wyciskanie sztangi sprzed głowy (stojac);1;20;5;
16.01.20;21:50:07;Wyciskanie sztangi sprzed głowy (stojac);2;30;5;
16.01.20;21:57:35;Wyciskanie sztangi sprzed głowy (stojac);3;32,5;10;
16.01.20;21:59:20;Wyciskanie sztangi sprzed głowy (stojac);4;32,5;6;
16.01.20;22:02:47;Wyciskanie sztangi sprzed głowy (stojac);5;32,5;10;
16.01.20;22:13:22;Wyciskanie francuskie linki wyciągu dolnego (stojąc);1;14;11;
